数据库：分省年度数据,,,,
指标：城镇登记失业率(%),,,,
时间：最近10年,,,,
地区,District,2021年,2020年,2019年
北京市,Beijing,3.2,2.6,1.3
天津市,Tianjin,3.7,3.6,3.5
河北省,Hebei,3.1,3.5,3.1
山西省,Shanxi,2.3,3.1,2.7
内蒙古自治区,Inner Mongolia,3.8,3.8,3.7
辽宁省,Liaoning,4.3,4.6,4.2
吉林省,Jilin,3.3,3.4,3.1
黑龙江省,Heilongjiang,3.2,3.4,3.5
上海市,Shanghai,2.7,3.7,3.6
江苏省,Jiangsu,2.5,3.2,3
浙江省,Zhejiang,2.6,2.8,2.5
安徽省,Anhui,2.5,2.8,2.6
福建省,Fujian,3.3,3.8,3.5
江西省,Jiangxi,2.8,3.2,2.9
山东省,Shandong,2.9,3.1,3.3
河南省,Henan,3.4,3.2,3.2
湖北省,Hubei,3,3.4,2.4
湖南省,Hunan,2.3,2.7,2.7
广东省,Guangdong,2.5,2.5,2.3
广西壮族自治区,Guangxi,2.5,2.8,2.6
海南省,Hainan,3.1,2.8,2.3
重庆市,Chongqing,2.9,4.5,2.6
四川省,Sichuan,3.6,3.6,3.3
贵州省,Guizhou,4.5,3.8,3.1
云南省,Yunnan,3.8,3.9,3.3
西藏自治区,Tibet,2.6,2.9,2.9
陕西省,Shaanxi,3.5,3.6,3.2
甘肃省,Gansu,3.4,3.3,3
青海省,Qinghai,1.8,2.1,2.2
宁夏回族自治区,Ningxia,4.1,3.9,3.7
新疆维吾尔自治区,Xinjiang,2,2.4,2.1
数据来源：国家统计局,,,,
