State,Year,HPI with base 2019,School closing,Workplace closing,Cancel public event,Restriction on gathering,Close public transport,State at home requirement,Restrictions on internal movement,International travel control
Alabama,2019,100,0,0,0,0,0,0,0,0
Alabama,2020,104.0741285,1.99726776,1.355191257,1.024590164,0.581967213,0.371584699,1.013661202,0.795081967,2.702185792
Alabama,2021,115.2301809,1.095890411,0.301369863,0.619178082,0,0,0.512328767,1,2.890410959
Alabama,2022,133.6029808,1,0,0,0,0,0,0.484931507,1
Alaska,2019,117.2991126,0,0,0,0,0,0,0,0
Alaska,2020,100,2.393442623,1.199453552,1.030054645,2.409836066,0.366120219,0.868852459,1.398907104,2.702185792
Alaska,2021,106.6324863,1.249315068,0.520547945,1.180821918,2.068493151,0,0.890410959,1.205479452,2.890410959
Alaska,2022,119.8137103,0.084931507,0,0.087671233,0,0.035616438,0,0.356164384,1
Arizona,2019,138.9390473,0,0,0,0,0,0,0,0
Arizona,2020,148.053354,2.027322404,1.281420765,1.147540984,1.237704918,0.308743169,0.879781421,0.896174863,2.702185792
Arizona,2021,100,0.698630137,0.463013699,0.802739726,0.780821918,0,0.249315068,0.706849315,2.890410959
Arizona,2022,121.4067987,0,0,0,0,0,0,0.356164384,1
Arkansas,2019,48.97833822,0,0,0,0,0,0,0,0
Arkansas,2020,50.29844346,1.819672131,1.508196721,0.907103825,1.306010929,0.642076503,0.745901639,0.907103825,2.702185792
Arkansas,2021,55.92540652,1.098630137,0.753424658,0.701369863,0.605479452,0.569863014,0.249315068,0.936986301,2.890410959
Arkansas,2022,100,0.775342466,0,0,0,0,0,0.356164384,1
California,2019,244.7285539,0,0,0,0,0,0,0,0
California,2020,250.2891511,2.415300546,1.737704918,1.628415301,3.06557377,0,1.06284153,0.93715847,2.732240437
California,2021,282.0388263,1.747945205,1.109589041,0.950684932,1.854794521,0,0.556164384,0.515068493,2.890410959
California,2022,326.9737896,1,0.824657534,0.145205479,0.246575342,0,0,0.356164384,1
Colorado,2019,100,0,0,0,0,0,0,0,0
Colorado,2020,102.8755686,1.770491803,1.693989071,1.054644809,3.202185792,0.759562842,0.898907104,0.87431694,2.702185792
Colorado,2021,116.2834652,1.547945205,1.043835616,0.663013699,1.567123288,1,0.331506849,0.465753425,2.890410959
Colorado,2022,135.5131161,1,0.084931507,0,0,0.084931507,0,0.356164384,1
Connecticut,2019,62.53764513,0,0,0,0,0,0,0,0
Connecticut,2020,100,2.071038251,1.756830601,1.131147541,2.806010929,0.989071038,0.778688525,1.234972678,2.702185792
Connecticut,2021,111.9222588,1.635616438,0.742465753,0.619178082,1.452054795,0.164383562,0.249315068,0.649315068,2.890410959
Connecticut,2022,127.2513376,0.495890411,0,0.010958904,0,0,0,0.356164384,1
Delaware,2019,88.09385677,0,0,0,0,0,0,0,0
Delaware,2020,91.00593051,2.049180328,1.598360656,1.325136612,2.254098361,0.464480874,1.12295082,0.975409836,2.702185792
Delaware,2021,100,1.643835616,0.706849315,0.619178082,1.824657534,0.419178082,0.249315068,0.493150685,2.890410959
Delaware,2022,114.0387043,1,0,0,0,0.298630137,0,0.356164384,1
District Of Columbia,2019,274.051169,0,0,0,0,0,0,0,0
District Of Columbia,2020,279.7769148,0,0,0,0,0,0,0,0
District Of Columbia,2021,299.079534,0,0,0,0,0,0,0,0
District Of Columbia,2022,100,0,0,0,0,0,0,0,0
Florida,2019,30.3566733,0,0,0,0,0,0,0,0
Florida,2020,31.87485426,1.833333333,1.519125683,1.333333333,2.330601093,0.655737705,1.521857923,1.163934426,2.702185792
Florida,2021,36.84764111,0.493150685,0.4,0.619178082,1.336986301,0,0.55890411,0.704109589,2.890410959
