State,Year,Month,Unemployment Rate,School closing,Workplace closing,Cancel public event,Restriction on gathering,Close public transport,State at home requirement,Restrictions on internal movement,International travel control
Alabama,2019,01,3.7,0,0,0,0,0,0,0,0
Alabama,2019,02,3.6,0,0,0,0,0,0,0,0
Alabama,2019,03,3.4,0,0,0,0,0,0,0,0
Alabama,2019,04,3.3,0,0,0,0,0,0,0,0
Alabama,2019,05,3.1,0,0,0,0,0,0,0,0
Alabama,2019,06,3,0,0,0,0,0,0,0,0
Alabama,2019,07,3,0,0,0,0,0,0,0,0
Alabama,2019,08,3,0,0,0,0,0,0,0,0
Alabama,2019,09,3,0,0,0,0,0,0,0,0
Alabama,2019,10,3,0,0,0,0,0,0,0,0
Alabama,2019,11,3,0,0,0,0,0,0,0,0
Alabama,2019,12,3.1,0,0,0,0,0,0,0,0
Alabama,2020,01,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
Alabama,2020,02,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310344827586207
Alabama,2020,03,3.4,1.4193548387096775,1.4838709677419355,1.096774193548387,1.7096774193548387,0.25806451612903225,0.5161290322580645,0.5161290322580645,3.0
Alabama,2020,04,13.8,3.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0
Alabama,2020,05,10.4,3.0,3.0,2.0,1.2903225806451613,1.0,2.0,1.0,3.0
Alabama,2020,06,8.6,3.0,2.2666666666666666,1.1666666666666667,0.0,1.0,1.6333333333333333,1.0,3.0
Alabama,2020,07,7.5,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0
Alabama,2020,08,6.3,2.4838709677419355,1.2580645161290323,1.0,0.0,0.1935483870967742,1.0,1.0,3.0
Alabama,2020,09,5.9,2.0,1.2333333333333334,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2020,10,5.2,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2020,11,4.8,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2020,12,4.5,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2021,01,4.2,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
