"States and selected areas: Employment status of the civilian noninstitutional population, January 1976 to date, seasonally adjusted",,,,,,,,,,
"States and selected areas: Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
,,,,,Total,Percent of population,Employment,,Unemployment,
,,Year,Month,,,,Total,Percent of population,Total,Rate
,,,,,,,,,,
,,,,,,,,,,
1,Alabama,2018,1,"3,901,863","2,215,203",56.8,"2,127,128",54.5,"88,075",4
2,Alaska,2018,1,"546,187","357,218",65.4,"334,382",61.2,"22,836",6.4
4,Arizona,2018,1,"5,391,663","3,273,165",60.7,"3,113,945",57.8,"159,220",4.9
5,Arkansas,2018,1,"2,317,633","1,341,321",57.9,"1,290,307",55.7,"51,014",3.8
6,California,2018,1,"30,902,260","19,196,954",62.1,"18,352,744",59.4,"844,210",4.4
37,Los Angeles County,2018,1,"8,083,294","5,113,725",63.3,"4,875,532",60.3,"238,193",4.7
8,Colorado,2018,1,"4,417,840","3,016,639",68.3,"2,929,572",66.3,"87,067",2.9
9,Connecticut,2018,1,"2,906,619","1,908,264",65.7,"1,828,277",62.9,"79,987",4.2
10,Delaware,2018,1,"768,869","478,056",62.2,"458,437",59.6,"19,619",4.1
11,District of Columbia,2018,1,"560,286","395,016",70.5,"371,856",66.4,"23,160",5.9
12,Florida,2018,1,"16,959,248","10,035,695",59.2,"9,640,036",56.8,"395,659",3.9
13,Georgia,2018,1,"8,050,980","5,126,480",63.7,"4,906,159",60.9,"220,321",4.3
15,Hawaii,2018,1,"1,123,142","692,289",61.6,"678,079",60.4,"14,210",2.1
16,Idaho,2018,1,"1,331,725","852,010",64,"826,410",62.1,"25,600",3
17,Illinois,2018,1,"10,139,676","6,554,812",64.6,"6,255,518",61.7,"299,294",4.6
18,Indiana,2018,1,"5,208,438","3,355,494",64.4,"3,245,200",62.3,"110,294",3.3
19,Iowa,2018,1,"2,470,616","1,694,988",68.6,"1,647,790",66.7,"47,198",2.8
20,Kansas,2018,1,"2,231,071","1,487,571",66.7,"1,435,898",64.4,"51,673",3.5
21,Kentucky,2018,1,"3,497,264","2,047,780",58.6,"1,960,863",56.1,"86,917",4.2
22,Louisiana,2018,1,"3,585,779","2,108,584",58.8,"2,009,808",56,"98,776",4.7
23,Maine,2018,1,"1,109,692","698,862",63,"677,440",61,"21,422",3.1
24,Maryland,2018,1,"4,813,568","3,256,989",67.7,"3,124,028",64.9,"132,961",4.1
25,Massachusetts,2018,1,"5,677,489","3,769,464",66.4,"3,629,779",63.9,"139,685",3.7
26,Michigan,2018,1,"8,018,123","4,926,680",61.4,"4,703,938",58.7,"222,742",4.5
27,Minnesota,2018,1,"4,401,283","3,068,776",69.7,"2,973,054",67.5,"95,722",3.1
28,Mississippi,2018,1,"2,282,774","1,266,933",55.5,"1,205,088",52.8,"61,845",4.9
29,Missouri,2018,1,"4,784,418","3,046,775",63.7,"2,938,508",61.4,"108,267",3.6
30,Montana,2018,1,"841,718","530,913",63.1,"509,909",60.6,"21,004",4
31,Nebraska,2018,1,"1,479,661","1,028,444",69.5,"998,353",67.5,"30,091",2.9
32,Nevada,2018,1,"2,335,050","1,469,779",62.9,"1,400,476",60,"69,303",4.7
33,New Hampshire,2018,1,"1,117,207","762,668",68.3,"741,741",66.4,"20,927",2.7
34,New Jersey,2018,1,"7,294,387","4,589,597",62.9,"4,385,453",60.1,"204,144",4.4
35,New Mexico,2018,1,"1,631,201","940,285",57.6,"891,233",54.6,"49,052",5.2
36,New York,2018,1,"16,202,309","9,802,719",60.5,"9,361,939",57.8,"440,780",4.5
51000,New York city,2018,1,"7,099,644","4,272,594",60.2,"4,088,835",57.6,"183,759",4.3
37,North Carolina,2018,1,"7,988,051","4,883,710",61.1,"4,677,874",58.6,"205,836",4.2
38,North Dakota,2018,1,"588,893","413,194",70.2,"402,303",68.3,"10,891",2.6
39,Ohio,2018,1,"9,255,046","5,797,630",62.6,"5,532,766",59.8,"264,864",4.6
40,Oklahoma,2018,1,"2,992,340","1,833,765",61.3,"1,765,707",59,"68,058",3.7
41,Oregon,2018,1,"3,350,118","2,080,689",62.1,"1,995,726",59.6,"84,963",4.1
42,Pennsylvania,2018,1,"10,375,938","6,474,413",62.4,"6,163,215",59.4,"311,198",4.8
44,Rhode Island,2018,1,"885,256","570,471",64.4,"545,021",61.6,"25,450",4.5
45,South Carolina,2018,1,"3,925,277","2,261,291",57.6,"2,173,906",55.4,"87,385",3.9
46,South Dakota,2018,1,"661,242","457,365",69.2,"443,805",67.1,"13,560",3
47,Tennessee,2018,1,"5,317,145","3,220,657",60.6,"3,107,251",58.4,"113,406",3.5
48,Texas,2018,1,"21,303,717","13,599,540",63.8,"13,048,165",61.2,"551,375",4.1
49,Utah,2018,1,"2,288,887","1,569,799",68.6,"1,522,153",66.5,"47,646",3
50,Vermont,2018,1,"529,182","354,979",67.1,"345,110",65.2,"9,869",2.8
51,Virginia,2018,1,"6,651,184","4,349,259",65.4,"4,202,231",63.2,"147,028",3.4
53,Washington,2018,1,"5,904,206","3,765,106",63.8,"3,591,980",60.8,"173,126",4.6
54,West Virginia,2018,1,"1,462,679","788,504",53.9,"746,031",51,"42,473",5.4
55,Wisconsin,2018,1,"4,632,053","3,130,645",67.6,"3,038,413",65.6,"92,232",2.9
56,Wyoming,2018,1,"445,405","292,323",65.6,"280,000",62.9,"12,323",4.2
1,Alabama,2018,2,"3,902,971","2,221,179",56.9,"2,132,739",54.6,"88,440",4
2,Alaska,2018,2,"546,024","356,853",65.4,"334,378",61.2,"22,475",6.3
4,Arizona,2018,2,"5,398,448","3,282,873",60.8,"3,124,522",57.9,"158,351",4.8
5,Arkansas,2018,2,"2,317,886","1,341,576",57.9,"1,290,847",55.7,"50,729",3.8
6,California,2018,2,"30,911,398","19,219,336",62.2,"18,384,599",59.5,"834,737",4.3
37,Los Angeles County,2018,2,"8,083,073","5,117,717",63.3,"4,879,879",60.4,"237,838",4.6
8,Colorado,2018,2,"4,423,544","3,025,887",68.4,"2,938,179",66.4,"87,708",2.9
9,Connecticut,2018,2,"2,906,969","1,910,699",65.7,"1,831,795",63,"78,904",4.1
10,Delaware,2018,2,"769,467","478,958",62.2,"459,718",59.7,"19,240",4
11,District of Columbia,2018,2,"560,504","395,888",70.6,"372,775",66.5,"23,113",5.8
12,Florida,2018,2,"16,975,589","10,056,393",59.2,"9,665,775",56.9,"390,618",3.9
13,Georgia,2018,2,"8,058,161","5,128,657",63.6,"4,912,063",61,"216,594",4.2
15,Hawaii,2018,2,"1,123,367","693,538",61.7,"678,860",60.4,"14,678",2.1
16,Idaho,2018,2,"1,334,049","853,921",64,"828,831",62.1,"25,090",2.9
17,Illinois,2018,2,"10,137,235","6,555,717",64.7,"6,263,513",61.8,"292,204",4.5
18,Indiana,2018,2,"5,210,372","3,367,131",64.6,"3,256,495",62.5,"110,636",3.3
19,Iowa,2018,2,"2,470,776","1,698,795",68.8,"1,652,673",66.9,"46,122",2.7
20,Kansas,2018,2,"2,231,214","1,489,190",66.7,"1,437,973",64.4,"51,217",3.4
21,Kentucky,2018,2,"3,497,517","2,049,893",58.6,"1,963,395",56.1,"86,498",4.2
22,Louisiana,2018,2,"3,585,044","2,112,529",58.9,"2,012,358",56.1,"100,171",4.7
23,Maine,2018,2,"1,109,956","699,365",63,"678,283",61.1,"21,082",3
24,Maryland,2018,2,"4,814,802","3,259,422",67.7,"3,128,359",65,"131,063",4
25,Massachusetts,2018,2,"5,679,819","3,783,908",66.6,"3,645,163",64.2,"138,745",3.7
26,Michigan,2018,2,"8,019,073","4,931,679",61.5,"4,714,905",58.8,"216,774",4.4
27,Minnesota,2018,2,"4,403,621","3,070,279",69.7,"2,976,090",67.6,"94,189",3.1
28,Mississippi,2018,2,"2,281,783","1,268,039",55.6,"1,206,065",52.9,"61,974",4.9
29,Missouri,2018,2,"4,784,707","3,048,573",63.7,"2,942,099",61.5,"106,474",3.5
30,Montana,2018,2,"842,245","531,682",63.1,"511,006",60.7,"20,676",3.9
31,Nebraska,2018,2,"1,480,227","1,030,167",69.6,"1,000,270",67.6,"29,897",2.9
32,Nevada,2018,2,"2,338,856","1,474,824",63.1,"1,406,385",60.1,"68,439",4.6
33,New Hampshire,2018,2,"1,117,674","764,718",68.4,"743,898",66.6,"20,820",2.7
34,New Jersey,2018,2,"7,296,597","4,591,388",62.9,"4,391,311",60.2,"200,077",4.4
35,New Mexico,2018,2,"1,631,539","941,054",57.7,"893,378",54.8,"47,676",5.1
36,New York,2018,2,"16,203,265","9,803,973",60.5,"9,372,373",57.8,"431,600",4.4
51000,New York city,2018,2,"7,100,601","4,271,328",60.2,"4,089,884",57.6,"181,444",4.2
37,North Carolina,2018,2,"7,994,997","4,889,226",61.2,"4,687,688",58.6,"201,538",4.1
38,North Dakota,2018,2,"588,959","413,337",70.2,"402,540",68.3,"10,797",2.6
39,Ohio,2018,2,"9,255,716","5,800,253",62.7,"5,536,066",59.8,"264,187",4.6
40,Oklahoma,2018,2,"2,992,617","1,835,365",61.3,"1,768,867",59.1,"66,498",3.6
41,Oregon,2018,2,"3,352,597","2,080,223",62,"1,996,370",59.5,"83,853",4
42,Pennsylvania,2018,2,"10,376,649","6,480,717",62.5,"6,174,626",59.5,"306,091",4.7
44,Rhode Island,2018,2,"885,671","571,351",64.5,"546,431",61.7,"24,920",4.4
45,South Carolina,2018,2,"3,928,805","2,262,598",57.6,"2,179,771",55.5,"82,827",3.7
46,South Dakota,2018,2,"661,492","457,880",69.2,"444,447",67.2,"13,433",2.9
47,Tennessee,2018,2,"5,320,989","3,228,202",60.7,"3,114,203",58.5,"113,999",3.5
48,Texas,2018,2,"21,326,011","13,633,431",63.9,"13,081,962",61.3,"551,469",4
49,Utah,2018,2,"2,292,864","1,572,966",68.6,"1,525,703",66.5,"47,263",3
50,Vermont,2018,2,"529,273","355,297",67.1,"345,619",65.3,"9,678",2.7
51,Virginia,2018,2,"6,653,586","4,355,545",65.5,"4,211,373",63.3,"144,172",3.3
