State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 2019 base
Alabama,AL,1,2019,4.59,407.94,100
Alabama,AL,1,2020,4.07,424.56,104.0741285
Alabama,AL,1,2021,10.72,470.07,115.2301809
Alabama,AL,1,2022,15.94,545.02,133.6029808
Alabama,AL,1,2023,7.19,584.18,143.2024317
Alaska,AK,2,2019,2.07,478.51,100
Alaska,AK,2,2020,2.31,489.56,102.3092516
Alaska,AK,2,2021,6.63,522.03,109.0948987
Alaska,AK,2,2022,12.36,586.56,122.5805103
Alaska,AK,2,2023,6.69,625.81,130.7830557
Arizona,AZ,4,2019,6.83,680.19,100
Arizona,AZ,4,2020,6.56,724.81,106.5599318
Arizona,AZ,4,2021,19.04,862.81,126.8483806
Arizona,AZ,4,2022,21.41,1047.51,154.0025581
Arizona,AZ,4,2023,2.31,1071.66,157.5530367
Arkansas,AR,5,2019,3.44,422.59,100
Arkansas,AR,5,2020,2.69,433.98,102.6952838
Arkansas,AR,5,2021,11.19,482.53,114.1839608
Arkansas,AR,5,2022,16.47,561.99,132.987056
Arkansas,AR,5,2023,8.8,611.42,144.6839726
California,CA,6,2019,3.23,1375.35,100
California,CA,6,2020,2.27,1406.6,102.2721489
California,CA,6,2021,12.69,1585.03,115.2455739
California,CA,6,2022,15.93,1837.56,133.6067183
California,CA,6,2023,1.96,1873.6,136.2271422
Colorado,CO,8,2019,4.78,962.94,100
Colorado,CO,8,2020,2.88,990.63,102.8755686
Colorado,CO,8,2021,13.03,1119.74,116.2834652
Colorado,CO,8,2022,16.54,1304.91,135.5131161
Colorado,CO,8,2023,2.21,1333.77,138.5101876
Connecticut,CT,9,2019,2.23,602.2,100
Connecticut,CT,9,2020,3.04,620.52,103.0421787
Connecticut,CT,9,2021,11.92,694.5,115.3271338
Connecticut,CT,9,2022,13.7,789.62,131.1225506
Connecticut,CT,9,2023,10.4,871.72,144.7558951
Delaware,DE,10,2019,3.55,546.64,100
Delaware,DE,10,2020,3.31,564.71,103.3056491
Delaware,DE,10,2021,10.81,625.77,114.4757061
Delaware,DE,10,2022,14.04,713.62,130.546612
Delaware,DE,10,2023,8.11,771.5,141.1349334
District Of Columbia,DC,11,2019,3.86,1714.93,100
District Of Columbia,DC,11,2020,2.09,1750.76,102.0892981
District Of Columbia,DC,11,2021,6.9,1871.55,109.1327343
District Of Columbia,DC,11,2022,7.7,2015.57,117.5307447
District Of Columbia,DC,11,2023,-2.11,1973.01,115.0490107
Florida,FL,12,2019,5.48,611.86,100
Florida,FL,12,2020,5,642.46,105.0011441
Florida,FL,12,2021,15.6,742.69,121.3823424
Florida,FL,12,2022,23.95,920.53,150.4478149
Florida,FL,12,2023,8.98,1003.18,163.9558069
Georgia,GA,13,2019,5.73,469.32,100
Georgia,GA,13,2020,4.11,488.59,104.1059405
