State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 2019 base
Alabama,AL,1,2019,4.59,407.94,100
Alabama,AL,1,2020,4.07,424.56,104.0741285
Alabama,AL,1,2021,10.72,470.07,115.2301809
Alabama,AL,1,2022,15.94,545.02,133.6029808
Alaska,AK,2,2019,2.07,478.51,117.2991126
Alaska,AK,2,2020,2.31,489.56,100
Alaska,AK,2,2021,6.63,522.03,106.6324863
Alaska,AK,2,2022,12.36,586.56,119.8137103
Arizona,AZ,4,2019,6.83,680.19,138.9390473
Arizona,AZ,4,2020,6.56,724.81,148.053354
Arizona,AZ,4,2021,19.04,862.81,100
Arizona,AZ,4,2022,21.41,1047.51,121.4067987
Arkansas,AR,5,2019,3.44,422.59,48.97833822
Arkansas,AR,5,2020,2.69,433.98,50.29844346
Arkansas,AR,5,2021,11.19,482.53,55.92540652
Arkansas,AR,5,2022,16.47,561.99,100
California,CA,6,2019,3.23,1375.35,244.7285539
California,CA,6,2020,2.27,1406.6,250.2891511
California,CA,6,2021,12.69,1585.03,282.0388263
California,CA,6,2022,15.93,1837.56,326.9737896
Colorado,CO,8,2019,4.78,962.94,100
Colorado,CO,8,2020,2.88,990.63,102.8755686
Colorado,CO,8,2021,13.03,1119.74,116.2834652
Colorado,CO,8,2022,16.54,1304.91,135.5131161
Connecticut,CT,9,2019,2.23,602.2,62.53764513
Connecticut,CT,9,2020,3.04,620.52,100
Connecticut,CT,9,2021,11.92,694.5,111.9222588
Connecticut,CT,9,2022,13.7,789.62,127.2513376
Delaware,DE,10,2019,3.55,546.64,88.09385677
Delaware,DE,10,2020,3.31,564.71,91.00593051
Delaware,DE,10,2021,10.81,625.77,100
Delaware,DE,10,2022,14.04,713.62,114.0387043
District Of Columbia,DC,11,2019,3.86,1714.93,274.051169
District Of Columbia,DC,11,2020,2.09,1750.76,279.7769148
District Of Columbia,DC,11,2021,6.9,1871.55,299.079534
District Of Columbia,DC,11,2022,7.7,2015.57,100
Florida,FL,12,2019,5.48,611.86,30.3566733
Florida,FL,12,2020,5,642.46,31.87485426
Florida,FL,12,2021,15.6,742.69,36.84764111
Florida,FL,12,2022,23.95,920.53,45.67095164
Georgia,GA,13,2019,5.73,469.32,100
Georgia,GA,13,2020,4.11,488.59,104.1059405
Georgia,GA,13,2021,12.91,551.69,117.5509247
Georgia,GA,13,2022,20.51,664.85,141.6624052
Hawaii,HI,15,2019,2.91,1062.56,226.4041592
Hawaii,HI,15,2020,-0.03,1062.22,100
Hawaii,HI,15,2021,7.98,1146.96,107.9776318
Hawaii,HI,15,2022,18.88,1363.53,128.3660635
Idaho,ID,16,2019,11.17,653.14,61.48820395
Idaho,ID,16,2020,8.67,709.78,66.82043268
Idaho,ID,16,2021,22.9,872.32,100
Idaho,ID,16,2022,20.02,1046.97,120.0213225
